,,,0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.ie')",57.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.o')",48.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.pe')",58.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.shcha')",35.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ghe', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ha', 'cyrl.ie')",56.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ha', 'cyrl.o')",52.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ha', 'cyrl.pe')",43.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ha', 'cyrl.shcha')",33.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ha', 'cyrl.te')",45.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ie', 'cyrl.o')",45.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ie', 'cyrl.pe')",59.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ie', 'cyrl.shcha')",55.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.ie', 'cyrl.te')",56.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.o', 'cyrl.pe')",52.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.o', 'cyrl.shcha')",51.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.o', 'cyrl.te')",51.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.pe', 'cyrl.shcha')",41.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.pe', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.e', 'cyrl.shcha', 'cyrl.te')",33.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ha', 'cyrl.ie')",41.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ha', 'cyrl.o')",44.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ha', 'cyrl.pe')",49.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ha', 'cyrl.shcha')",30.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ha', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ie', 'cyrl.o')",56.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ie', 'cyrl.pe')",59.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ie', 'cyrl.shcha')",37.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.ie', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.o', 'cyrl.pe')",56.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.o', 'cyrl.shcha')",37.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.o', 'cyrl.te')",57.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.pe', 'cyrl.shcha')",52.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.pe', 'cyrl.te')",41.0
cyrillic,pt-sans,"('cyrl.ghe', 'cyrl.shcha', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.ie', 'cyrl.o')",57.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.ie', 'cyrl.pe')",43.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.ie', 'cyrl.shcha')",33.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.ie', 'cyrl.te')",47.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.o', 'cyrl.pe')",40.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.o', 'cyrl.shcha')",38.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.o', 'cyrl.te')",43.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.pe', 'cyrl.shcha')",28.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.pe', 'cyrl.te')",56.0
cyrillic,pt-sans,"('cyrl.ha', 'cyrl.shcha', 'cyrl.te')",29.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.o', 'cyrl.pe')",56.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.o', 'cyrl.shcha')",58.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.o', 'cyrl.te')",58.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.pe', 'cyrl.shcha')",39.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.pe', 'cyrl.te')",57.0
cyrillic,pt-sans,"('cyrl.ie', 'cyrl.shcha', 'cyrl.te')",36.0
cyrillic,pt-sans,"('cyrl.o', 'cyrl.pe', 'cyrl.shcha')",39.0
cyrillic,pt-sans,"('cyrl.o', 'cyrl.pe', 'cyrl.te')",57.0
cyrillic,pt-sans,"('cyrl.o', 'cyrl.shcha', 'cyrl.te')",39.0
cyrillic,pt-sans,"('cyrl.pe', 'cyrl.shcha', 'cyrl.te')",47.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.er')",33.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.ha')",40.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.te')",45.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.u')",45.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.ve')",36.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.el', 'cyrl.ze')",52.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.er', 'cyrl.ha')",38.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.er', 'cyrl.te')",32.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.er', 'cyrl.u')",33.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.er', 'cyrl.ve')",29.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.er', 'cyrl.ze')",51.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.ha', 'cyrl.te')",44.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.ha', 'cyrl.u')",45.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.ha', 'cyrl.ve')",46.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.ha', 'cyrl.ze')",54.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.te', 'cyrl.u')",37.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.te', 'cyrl.ve')",44.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.te', 'cyrl.ze')",49.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.u', 'cyrl.ve')",47.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.u', 'cyrl.ze')",54.0
cyrillic,pt-serif,"('cyrl.e', 'cyrl.ve', 'cyrl.ze')",31.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.er', 'cyrl.ha')",34.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.er', 'cyrl.te')",43.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.er', 'cyrl.u')",26.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.er', 'cyrl.ve')",45.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.er', 'cyrl.ze')",29.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.ha', 'cyrl.te')",29.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.ha', 'cyrl.u')",28.0
cyrillic,pt-serif,"('cyrl.el', 'cyrl.ha', 'cyrl.ve')",28.0
